in:37 out:37 type:2 q:2310 itex:0 ptex:0 mv:116 misc:4885 fcode:1 bcode:1 mc-var:89172 var:1318929 icount:0 skipcount:4774 hbits:55;
in:38 out:38 type:2 q:2644 itex:0 ptex:0 mv:8 misc:4809 fcode:1 bcode:1 mc-var:89143 var:1318929 icount:0 skipcount:4798 hbits:55;
in:39 out:39 type:2 q:2989 itex:0 ptex:0 mv:4 misc:4805 fcode:1 bcode:1 mc-var:89143 var:1318929 icount:0 skipcount:4799 hbits:55;
in:40 out:40 type:2 q:3323 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:41 out:41 type:2 q:3605 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:42 out:42 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:43 out:43 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:44 out:44 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:45 out:45 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:46 out:46 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:47 out:47 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:48 out:48 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:49 out:49 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:55;
in:50 out:50 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4808 fcode:1 bcode:1 mc-var:89144 var:1318929 icount:0 skipcount:4800 hbits:56;
in:51 out:51 type:1 q:2926 itex:202381 ptex:0 mv:0 misc:29376 fcode:1 bcode:1 mc-var:11591472 var:2419462 icount:4800 skipcount:0 hbits:107;
in:52 out:52 type:2 q:3658 itex:0 ptex:5 mv:5759 misc:8493 fcode:1 bcode:1 mc-var:343930 var:2419462 icount:0 skipcount:3572 hbits:55;
in:53 out:53 type:2 q:3658 itex:0 ptex:7 mv:1544 misc:5826 fcode:1 bcode:1 mc-var:333127 var:2419462 icount:0 skipcount:4459 hbits:55;
in:54 out:54 type:2 q:3658 itex:0 ptex:7 mv:500 misc:5150 fcode:1 bcode:1 mc-var:330599 var:2419462 icount:0 skipcount:4685 hbits:55;
in:55 out:55 type:2 q:3658 itex:0 ptex:0 mv:164 misc:4909 fcode:1 bcode:1 mc-var:330130 var:2419462 icount:0 skipcount:4764 hbits:55;
in:56 out:56 type:2 q:3658 itex:0 ptex:0 mv:33 misc:4824 fcode:1 bcode:1 mc-var:329970 var:2419462 icount:0 skipcount:4793 hbits:55;
in:57 out:57 type:2 q:3658 itex:0 ptex:0 mv:8 misc:4809 fcode:1 bcode:1 mc-var:329964 var:2419462 icount:0 skipcount:4798 hbits:55;
in:58 out:58 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:59 out:59 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:60 out:60 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:61 out:61 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:62 out:62 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:63 out:63 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:64 out:64 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:65 out:65 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:66 out:66 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:67 out:67 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:329956 var:2419462 icount:0 skipcount:4800 hbits:55;
in:68 out:68 type:1 q:2926 itex:194590 ptex:0 mv:0 misc:28887 fcode:1 bcode:1 mc-var:9907201 var:1940531 icount:4800 skipcount:0 hbits:107;
in:69 out:69 type:2 q:3658 itex:0 ptex:22 mv:5561 misc:8330 fcode:1 bcode:1 mc-var:327393 var:1940531 icount:0 skipcount:3626 hbits:55;
in:70 out:70 type:2 q:3658 itex:0 ptex:32 mv:1375 misc:5714 fcode:1 bcode:1 mc-var:317607 var:1940531 icount:0 skipcount:4500 hbits:55;
in:71 out:71 type:2 q:3658 itex:0 ptex:9 mv:503 misc:5137 fcode:1 bcode:1 mc-var:315395 var:1940531 icount:0 skipcount:4690 hbits:55;
in:72 out:72 type:2 q:3658 itex:0 ptex:0 mv:179 misc:4918 fcode:1 bcode:1 mc-var:314911 var:1940531 icount:0 skipcount:4763 hbits:55;
in:73 out:73 type:2 q:3658 itex:0 ptex:0 mv:64 misc:4841 fcode:1 bcode:1 mc-var:314784 var:1940531 icount:0 skipcount:4787 hbits:55;
in:74 out:74 type:2 q:3658 itex:0 ptex:0 mv:10 misc:4807 fcode:1 bcode:1 mc-var:314742 var:1940531 icount:0 skipcount:4798 hbits:55;
in:75 out:75 type:2 q:3658 itex:0 ptex:0 mv:4 misc:4804 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4799 hbits:56;
in:76 out:76 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:77 out:77 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:78 out:78 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:79 out:79 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:80 out:80 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:81 out:81 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:82 out:82 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:83 out:83 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:84 out:84 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:314733 var:1940531 icount:0 skipcount:4800 hbits:55;
in:85 out:85 type:2 q:3658 itex:23857 ptex:34581 mv:6968 misc:24835 fcode:1 bcode:1 mc-var:1997464 var:1508966 icount:1114 skipcount:1912 hbits:55;
in:86 out:86 type:2 q:3658 itex:0 ptex:343 mv:3269 misc:7029 fcode:1 bcode:1 mc-var:355695 var:1508966 icount:0 skipcount:4091 hbits:55;
